cnt,param1,param2,minRadius,maxRadius,distance_threshold,coin_count
432,50,30,25,40,12,18
433,50,30,25,40,13,18
434,50,30,25,40,14,18
435,50,30,25,40,15,18
436,50,30,25,40,16,18
437,50,30,25,40,17,18
438,50,30,25,40,18,18
439,50,30,25,40,19,18
440,50,30,25,40,20,18
819,50,50,10,50,12,17
820,50,50,10,50,13,17
821,50,50,10,50,14,17
822,50,50,10,50,15,17
823,50,50,10,50,16,17
824,50,50,10,50,17,17
825,50,50,10,50,18,17
826,50,50,10,50,19,17
827,50,50,10,50,20,17
1215,50,60,20,70,12,17
1216,50,60,20,70,13,17
1217,50,60,20,70,14,17
1218,50,60,20,70,15,17
1219,50,60,20,70,16,17
1220,50,60,20,70,17,17
1221,50,60,20,70,18,17
1222,50,60,20,70,19,17
1223,50,60,20,70,20,17
2511,60,60,15,70,12,17
2512,60,60,15,70,13,17
2513,60,60,15,70,14,17
2514,60,60,15,70,15,17
2515,60,60,15,70,16,17
2516,60,60,15,70,17,17
2517,60,60,15,70,18,17
2518,60,60,15,70,19,17
2519,60,60,15,70,20,17
2682,60,60,30,80,12,19
2683,60,60,30,80,13,19
2684,60,60,30,80,14,19
2685,60,60,30,80,15,19
2686,60,60,30,80,16,19
2687,60,60,30,80,17,19
2688,60,60,30,80,18,19
2689,60,60,30,80,19,19
2690,60,60,30,80,20,19
3807,70,60,10,70,12,18
3808,70,60,10,70,13,18
3809,70,60,10,70,14,18
3810,70,60,10,70,15,18
3811,70,60,10,70,16,18
3812,70,60,10,70,17,18
3813,70,60,10,70,18,18
3814,70,60,10,70,19,18
3815,70,60,10,70,20,18
3978,70,60,25,80,12,19
3979,70,60,25,80,13,19
3980,70,60,25,80,14,19
3981,70,60,25,80,15,19
3982,70,60,25,80,16,19
3983,70,60,25,80,17,19
3984,70,60,25,80,18,19
3985,70,60,25,80,19,19
3986,70,60,25,80,20,19
7695,100,50,20,70,12,19
7696,100,50,20,70,13,19
7697,100,50,20,70,14,19
7698,100,50,20,70,15,19
7699,100,50,20,70,16,19
7700,100,50,20,70,17,19
7701,100,50,20,70,18,19
7702,100,50,20,70,19,19
7703,100,50,20,70,20,19
8037,100,60,25,90,12,19
8038,100,60,25,90,13,19
8039,100,60,25,90,14,19
8040,100,60,25,90,15,19
8041,100,60,25,90,16,19
8042,100,60,25,90,17,19
8043,100,60,25,90,18,19
8044,100,60,25,90,19,19
8045,100,60,25,90,20,19
